Beer,Rating,Review_Count,Style_1,Brewery,ABV%,IBU,Description
Konkey Dong 4UP (2022),4.550000000000001,32,IPA,Hoof Hearted Brewing,9.5,0,
Wet Hopped Bodhi,4.512244897959183,56,IPA,Columbus Brewing Company,8.3,0,
South of Eleven (2022),4.45952380952381,21,IPA,Hoof Hearted Brewing,10.2,0,
$120 Nachos,4.440789473684211,119,IPA,Hoof Hearted Brewing,12.0,0,$120 Nachos (100% Citra Quadruple Dry-Hopped TIPA)
Bourbon Barrel-Aged You Ever Put A Helmet On A Basketball?,4.311111111111111,40,Stout,Hoof Hearted Brewing,13.5,0,
You Ever Put A Helmet On A Basketball?,4.306896551724138,63,Stout,Hoof Hearted Brewing,13.0,0,"Double mash imperial stout with cookies, cacao nibs, vanilla, marshmallow, coffee, and milk sugar added. Show Less"
South of Eleven 666 (2022),4.299056603773585,54,IPA,Hoof Hearted Brewing,10.2,0,Fresh batch as of Jan 2022
Key Bump,4.288461538461538,16,IPA,Hoof Hearted Brewing,10.5,0,"Clean off your mirrored glass table and grab a hundo. Key Bump bout to pack your nose full of those oh-so tropical tones. Passionfruit, guava, pineapple(s), calamansi and kumquat barrel down the mountain as quick as Alberto Tomba on an Olympic qualifying run. Hopped with the most dangerous weapon in the game (ElMoMoCoe) + fermented w/ the fruity flyboi Orenthal, Key Bump's the pick-me-up you can't put down. To quote the great Clyde Von Damme,
""What the hell is Dim Mak?"" Show Less"
Ol' Rugger Coconut Almond (2022),4.283333333333333,15,Stout,Zaftig Brewing Co.,15.0,0,"Roasted coconut, almond, and Ol' Rugger is a joy for the senses. Aged in Jim Beam & Heaven Hills barrels. Our Russian Imperial Stout is a nod to our friend Lynn Harvey and the great sport of rugby. Big and bold with notes of tobacco, molasses, dark fruit, vanilla and chocolate make this a beer that exemplifies a Rugger and Zaftig. As the say, ""Never let good enough BE enough"" Show Less"
Accrual Summer,4.277777777777778,48,Lager,Saucy Brew Works,4.2,0,"Crisp, clean drinking craft light lager brewed to celebrate a hearty golf win by the accounting team over the brewers. Show Less"
BA Imperial Melk,4.277777777777778,29,Stout,Columbus Brewing Company,12.1,0,"Pouring dark black with a dark brown head. Notes of chocolate, bourbon, vanilla, caramel and oak. Aged in four unique whiskey barrels for 18 months then blended: Heaven Hill, Heaven Hill Rye, Four Roses, Buffalo Trace. *Contains lactose. Show Less"
Everybody Wants Some Nectaron,4.271052631578947,20,IPA,Hoof Hearted Brewing,9.2,0,
Konkey Dong 4UP,4.2690721649484535,104,IPA,Hoof Hearted Brewing,9.5,0,"We took Konkey Dong, fattened him up a bit, and doubled the dry hop for a whopping 8.5 pounds of hops per barrel. Show Less"
Fine Corinthian Leather Nachos,4.268518518518518,249,IPA,Hoof Hearted Brewing,8.3,0,"DDH Double IPA Brewed with Phantasm Cryo Blend, Citra, and Nelson Sauvin"
Nice,4.2625,22,Spiced / Herbed Beer,Combustion Brewery & Taproom,5.0,15,Spiced with cinnamon vanilla and Christmas cheer
South of Eleven 666,4.252368421052632,204,IPA,Hoof Hearted Brewing,10.2,0,Triple dry hopped IPA with Mosaic
Chocolate Diregorgon,4.251801801801801,117,Stout,Wolf's Ridge Brewing,10.0,40,Bourbon barrel Imperial stout with cocao. Over 14 months later you can finally reap the reward. Finished with Uganhan vanilla and cacao from Ecuador and Ghana. Show Less
